year,modelId,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,horsepower_engine,torque_engine,highway_mpg,city_mpg,make,condition,bodyStyle,configuration_engine,type_engine,name_transmission,drivenWheels,market_categories
2019,1064.0,61608.0,13698,4.0,2.0,164.0,151.0,30.0,23.0,15,2,7,3,4,5,2,0
2020,1210.0,28423.0,20995,4.0,2.0,230.0,258.0,28.0,21.0,7,2,7,3,4,10,2,0
2017,1373.0,82890.0,17149,4.0,2.0,252.0,273.0,33.0,25.0,2,2,6,3,4,7,2,55
2020,1408.0,27322.0,19999,4.0,2.4,180.0,171.0,31.0,22.0,18,2,7,3,4,10,2,0
2019,1018.0,71534.0,20399,4.0,2.0,255.0,273.0,34.0,23.0,26,2,6,3,4,10,3,30
2021,909.0,62088.0,15499,4.0,1.8,139.0,126.0,38.0,30.0,37,2,6,3,4,11,2,59
2022,1066.0,14366.0,21299,4.0,1.6,180.0,195.0,37.0,27.0,15,2,6,3,4,9,2,59
2021,1297.0,58974.0,27299,6.0,3.6,287.0,262.0,25.0,17.0,8,2,4,0,4,10,0,59
2016,2052.0,104000.0,15999,4.0,2.0,200.0,207.0,28.0,20.0,2,2,7,3,4,5,0,31
2018,957.0,68616.0,43189,6.0,3.5,450.0,510.0,18.0,15.0,11,2,8,0,4,0,1,5
2019,880.0,61813.0,24399,4.0,2.5,203.0,184.0,33.0,25.0,37,2,7,3,4,9,0,0
2015,1014.0,83686.0,18497,6.0,3.0,329.0,354.0,28.0,20.0,26,2,6,0,4,7,0,55
2010,1019.0,113243.0,11199,8.0,5.5,382.0,391.0,21.0,14.0,26,2,6,0,4,7,0,55
2021,909.0,59013.0,14499,4.0,1.8,139.0,126.0,38.0,30.0,37,2,6,3,4,11,2,59
2020,1018.0,54560.0,24179,4.0,2.0,255.0,273.0,35.0,24.0,26,2,6,3,4,10,3,55
2022,909.0,16899.0,17199,4.0,1.8,139.0,126.0,38.0,30.0,37,2,6,3,4,11,2,59
2021,883.0,61270.0,19399,4.0,2.5,203.0,184.0,39.0,28.0,37,2,6,3,4,9,2,59
