year,make,condition,modelId,bodyStyle,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,configuration_engine,horsepower_engine,torque_engine,type_engine,name_transmission,drivenWheels,market_categories,highway_mpg,city_mpg,segment
2022,Toyota,used,909.0,sedan,16899.0,17199,4.0,1.8,inline,139.0,126.0,gas,Continuously Variable,FWD,,38.0,30.0,2
2019,Toyota,used,908.0,suv,60045.0,27499,6.0,4.0,V,270.0,278.0,gas,5A,RWD,,21.0,17.0,3
2015,Lexus,used,1889.0,sedan,74129.0,16999,6.0,3.5,V,268.0,248.0,gas,6A,FWD,"Luxury,Performance",31.0,21.0,2
2016,BMW,used,1316.0,sedan,53125.0,28995,8.0,4.4,V,445.0,480.0,gas,8A,RWD,"Luxury,High-Performance",25.0,17.0,3
2016,BMW,used,1325.0,sedan,103103.0,11399,4.0,2.0,inline,240.0,255.0,gas,8A,RWD,"Luxury,Performance",34.0,22.0,1
2018,Chevrolet,used,1268.0,suv,37405.0,21999,6.0,3.6,V,305.0,260.0,gas,9A,AWD,Crossover,25.0,17.0,2
2018,Alfa Romeo,used,2212.0,crossover,20164.0,22999,4.0,2.0,inline,280.0,306.0,gas,8A,AWD,"Luxury,Crossover",28.0,22.0,2
2020,Ford,used,961.0,suv,49776.0,33699,6.0,3.0,V,400.0,415.0,gas,10A,AWD,"Crossover,Performance",24.0,18.0,3
2021,Cadillac,used,2127.0,suv,62462.0,23495,4.0,2.0,inline,237.0,258.0,gas,9A,FWD,"Luxury,Crossover",29.0,22.0,2
2021,Chevrolet,used,1252.0,suv,64501.0,15499,4.0,1.5,inline,170.0,203.0,gas,6A,FWD,Crossover,31.0,26.0,2
2021,Nissan,used,1516.0,sedan,44621.0,13999,4.0,1.6,inline,122.0,114.0,gas,Continuously Variable,FWD,,40.0,32.0,2
2016,Cadillac,used,1539.0,suv,87946.0,31497,8.0,6.2,V,420.0,460.0,gas,8A,AWD,"Luxury,Performance",21.0,15.0,3
2023,Nissan,used,1511.0,sedan,13955.0,20899,4.0,2.5,inline,188.0,180.0,gas,Continuously Variable,FWD,,37.0,27.0,2
